Gemeentecode,Gemeentenaam,Grote_gemeente,Inwonertal,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19
GM0383,Castricum,Nee,35772,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,6
GM0109,Coevorden,Nee,35483,Drenthe,0,0,0,1,2,2,2,3,3,7,7,9,11,11,11,11,11,11,11,11,12,12
GM1706,Cranendonck,Nee,20440,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,5,6,6
GM1684,Cuijk,Nee,24931,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4
GM0216,Culemborg,Nee,28555,Gelderland,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4
GM0148,Dalfsen,Nee,28499,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GM1891,Dantumadiel,Nee,18923,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0310,De Bilt,Nee,42824,Utrecht,0,0,0,0,0,0,0,2,3,6,6,6,6,10,11,11,11,12,13,15,16,16
GM1940,De Fryske Marren,Nee,51430,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,5,5
GM0736,De Ronde Venen,Nee,44059,Utrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
GM1690,De Wolden,Nee,24110,Drenthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
GM0503,Delft,Ja,103163,Zuid-Holland,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,5
GM0010,Delfzijl,Nee,24716,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0400,Den Helder,Nee,55604,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
GM0762,Deurne,Nee,32362,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,5,8,8,10
GM0150,Deventer,Nee,99957,Overijssel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5
GM0384,Diemen,Nee,29196,Noord-Holland,0,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GM1774,Dinkelland,Nee,26350,Overijssel,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,4,4,5,5,6,8
GM0221,Doesburg,Nee,11148,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GM0222,Doetinchem,Nee,57555,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GM0766,Dongen,Nee,26051,Noord-Brabant,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,5,5,5,5,5,5
GM0505,Dordrecht,Ja,118654,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,8
GM0498,Drechterland,Nee,19597,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM1719,Drimmelen,Nee,27150,Noord-Brabant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,7,11,12,13
GM0303,Dronten,Nee,40815,Flevoland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,7,7,8,9
GM0225,Druten,Nee,18797,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5
GM0226,Duiven,Nee,25332,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
GM1711,Echt-Susteren,Nee,31638,Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6
GM0385,Edam-Volendam,Nee,36099,Noord-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
